id,customer_understands_products,customer_understands_technology,customer_is_hands_on,customer_seems_fair,customer_shares_our_expectations,customer_is_old,customer_is_big,people_are_interested,people_know_the_technology,people_are_senior,project_is_technically_challenging,project_is_large,project_has_clear_scope_and_focus,project_has_optimistic_schedule,project_has_unknowns,project_tries_new_ways_or_technologies,contract_has_fixed_scope,contract_has_fixed_price,result_customer_was_happy,result_people_were_happy,result_numbers_ended_good,result_things_went_as_predicted,result_product_was_good,result_new_doors_were_opened,iterative,retrospectives,acceptance_testing,customer_as_product_owner,ux_kickstart,multicompetence_team
0,0,1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,0,1,-1,-1,1,,,,,,
1,1,1,1,1,1,1,0,-1,-1,-1,1,-1,0,0,0,1,-1,-1,0,-1,0,-1,1,-1,,,,,,
2,1,1,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,0,0,1,1,-1,-1,1,1,,,,,,
3,1,0,-1,-1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,0,,,,,,
4,1,1,1,1,1,1,1,1,,1,0,1,1,1,-1,1,1,1,1,1,1,1,1,1,,,,,,
5,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,0,-1,1,-1,-1,1,,,,,,
6,1,1,1,1,1,-1,1,1,,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,,,,,,
7,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,-1,1,1,,,,,,
8,-1,-1,0,1,-1,1,1,1,1,1,1,1,-1,0,1,1,-1,-1,1,1,0,-1,0,0,,,,,,
9,-1,-1,-1,1,1,-1,1,1,0,0,1,-1,1,1,0,1,1,0,1,-1,1,1,0,1,,,,,,
10,1,1,0,1,1,-1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,-1,1,1,1,,,,,,
11,1,1,1,1,-1,1,0,1,1,0,0,-1,1,1,0,1,1,1,0,0,-1,-1,1,0,,,,,,
12,1,0,,1,0,-1,1,1,0,0,-1,-1,1,1,0,-1,1,1,1,1,-1,0,1,1,,,,,,
13,1,1,0,1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
14,1,-1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,0,1,0,-1,1,1,1,-1,-1,-1,-1,,,,,,
15,0,-1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,-1,1,1,1,-1,1,0,0,,,,,,
16,1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,-1,-1,1,1,   ,   ,   ,   ,   ,   
17,1,1,1,1,1,1,1,1,1,0,0,1,1,-1,-1,-1,1,0,1,1,1,1,1,-1,0,-1,-1,0,0,0
18,1,1,1,1,1,1,1,1,1,1,1,1,0,1,-1,-1,-1,-1,1,1,1,1,1,0,1,1,-1,0,1,1
19,1,1,1,1,1,1,1,1,1,1,0,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,0,1,1,-1,0,1,1
20,1,1,1,1,1,1,1,1,0,1,0,1,-1,1,0,0,-1,0,1,0,1,0,1,-1,1,1,0,0,0,1
21,0,-1,-1,1,0,1,1,1,1,1,1,1,-1,-1,0,0,-1,-1,1,0,1,1,1,0,1,1,1,0,0,1
22,0,1,1,1,0,1,1,0,0,0,0,-1,0,-1,0,0,0,1,0,0,0,0,0,-1,1,-1,0,1,0,0
23,1,-1,1,1,1,-1,1,0,0,0,-1,1,1,-1,-1,-1,0,-1,1,0,1,0,1,1,1,0,-1,-1,1,1
24,   ,   ,1,1,1,-1,-1,1,   ,   ,1,-1,0,-1,1,1,1,1,0,1,-1,-1,0,1,-1,   ,   ,   ,1,   
25,1,1,1,1,1,   ,1,1,0,0,0,0,1,0,-1,-1,1,1,1,   ,-1,0,1,   ,0,-1,   ,1,1,0
26,1,1,1,1,1,-1,0,1,0,1,-1,-1,1,-1,-1,-1,1,0,1,1,1,1,1,1,1,-1,1,1,0,0
27,1,1,-1,1,1,1,1,-1,1,1,-1,-1,1,0,-1,-1,1,1,1,0,1,1,1,0,1,-1,1,1,-1,-1
28,1,0,0,1,1,1,1,1,1,0,1,-1,-1,1,-1,-1,0,1,1,1,1,1,1,1,1,1,1,-1,1,1
29,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,1,1,1,-1,-1,1,1,0,-1,0,1,1,1,-1,1,1,-1,1
30,1,1,-1,1,1,1,1,1,1,-1,-1,0,1,0,-1,-1,-1,1,1,0,-1,1,1,1,1,0,-1,1,1,1
31,-1,-1,-1,1,1,1,1,-1,1,1,-1,-1,1,0,-1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,1,-1,1
32,1,1,-1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,-1,1,0,-1,1,1,1,1,-1,1,1,-1,0
33,1,1,0,0,0,1,1,1,0,0,-1,0,1,-1,-1,-1,1,1,1,0,-1,0,1,1,1,1,-1,1,1,-1
34,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,0,-1,-1,-1,1,1,1,1,1,1,1,1,-1,1,-1,-1
35,1,1,0,0,0,1,1,0,1,1,0,-1,1,0,0,-1,-1,-1,1,0,1,1,1,1,-1,0,1,1,-1,-1
